time(sec),throughput(txs),avg_latency(ms),min(ms),max(ms),25th_lat(ms),median_lat(ms),75th_lat(ms)
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
5,15284,6,0,35,4,7,8
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
10,15703,5,0,17,4,7,8
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
15,14424,6,0,60,4,7,8
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
20,13958,6,0,50,5,7,8
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
25,12956,7,0,90,4,6,8
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
30,13348,6,0,97,4,6,7
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
35,14042,6,0,107,4,6,7
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
READ_ITEM: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
40,14261,6,0,179,4,7,8
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
45,13130,7,0,64,5,7,9
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
50,12730,7,0,85,4,7,8
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
55,13190,7,0,117,4,6,7
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
60,13575,6,0,88,4,6,8
,,,,,,,
READ_ITEM - committed: 41847, aborted: 1, avg latency: 2 ms,,,,,
UPDATE_ITEM_PRICE - committed: 124754, aborted: 63, avg latency: 8 ms,,,,,
TOTAL - committed: 166601, aborted: 64, avg latency: 7 ms,,,,,
