time(sec),throughput(txs),avg_latency(ms),min(ms),max(ms),25th_lat(ms),median_lat(ms),75th_lat(ms)
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
5,14882,2,0,9,2,3,4
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
10,15196,2,0,14,2,3,4
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
15,15244,2,0,8,2,3,4
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
20,15582,2,0,7,2,3,3
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
25,15790,2,0,8,2,3,3
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
30,15893,2,0,44,2,3,3
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
35,15978,2,0,13,2,3,3
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
40,15442,2,0,13,2,3,3
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
45,15176,2,0,15,2,3,4
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
UPDATE_ITEM_PRICE: ABORTED,,,,,,,
50,15819,2,0,8,2,3,3
55,16182,2,0,39,2,3,3
60,16236,2,0,6,2,3,3
,,,,,,,
READ_ITEM - committed: 46462, aborted: 0, avg latency: 1 ms,,,,,
UPDATE_ITEM_PRICE - committed: 140958, aborted: 37, avg latency: 3 ms,,,,,
TOTAL - committed: 187420, aborted: 37, avg latency: 3 ms,,,,,
