time(sec),throughput(txs),avg_latency(ms),min(ms),max(ms),25th_lat(ms),median_lat(ms),75th_lat(ms)
5,1908,4,4,22,4,4,5
10,1986,4,4,14,4,4,5
15,2191,4,4,15,4,4,4
20,2227,4,4,14,4,4,4
25,2212,4,4,14,4,4,4
30,2233,4,4,14,4,4,4
35,2229,4,4,14,4,4,4
40,2230,4,4,11,4,4,4
45,2262,4,4,12,4,4,4
50,2249,4,4,14,4,4,4
55,2257,4,4,13,4,4,4
60,2187,4,4,16,4,4,4
,,,,,,,
READ_ITEM - committed: 26171, aborted: 0, avg latency: 4 ms,,,,,
UPDATE_ITEM_PRICE - committed: 0, aborted: 0, avg latency: 0 ms,,,,,
TOTAL - committed: 26171, aborted: 0, avg latency: 5 ms,,,,,
