time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 427, 4.250585, 1, 14, 1, 4, 6
1, 411, 4.377129, 1, 17, 2, 4, 6
2, 412, 4.400485, 1, 12, 1, 4, 6
3, 435, 4.105747, 1, 13, 1, 4, 6
4, 380, 4.776316, 1, 13, 2, 5, 7
5, 428, 4.182243, 1, 12, 2, 4, 6
6, 435, 4.117241, 0, 16, 1, 4, 6
7, 441, 4.065760, 0, 14, 1, 4, 6
8, 413, 4.346247, 0, 13, 2, 4, 6
9, 410, 4.402439, 1, 12, 2, 4, 6
10, 410, 4.375610, 0, 16, 2, 4, 6
11, 389, 4.655527, 1, 15, 3, 4, 6
12, 386, 4.694301, 0, 36, 2, 4, 6
13, 410, 4.385366, 0, 16, 2, 4, 6
14, 400, 4.512500, 0, 14, 1, 4, 6
15, 373, 4.884718, 0, 26, 3, 5, 6
16, 409, 4.405868, 0, 16, 1, 4, 6
17, 398, 4.555276, 1, 12, 2, 4, 6
18, 413, 4.348668, 1, 13, 1, 4, 6
19, 425, 4.235294, 1, 15, 1, 4, 6
20, 410, 4.373171, 1, 17, 2, 4, 6
21, 405, 4.498765, 1, 15, 1, 4, 6
22, 395, 4.587342, 1, 14, 3, 4, 6
23, 398, 4.557789, 1, 15, 1, 4, 6
24, 379, 4.788918, 1, 53, 2, 4, 6
25, 398, 4.562814, 1, 14, 3, 5, 6
26, 411, 4.355231, 0, 13, 1, 4, 6
27, 402, 4.472637, 0, 16, 2, 4, 6
28, 403, 4.508685, 1, 16, 2, 4, 6
29, 415, 4.330120, 1, 14, 2, 4, 6
30, 393, 4.592875, 0, 34, 1, 4, 6
31, 421, 4.277910, 0, 14, 1, 4, 6
32, 424, 4.266509, 1, 13, 1, 4, 6
33, 424, 4.216981, 1, 18, 1, 4, 6
34, 420, 4.276190, 0, 17, 1, 4, 6
35, 426, 4.253521, 0, 19, 1, 4, 6
36, 431, 4.153132, 1, 15, 1, 4, 6
37, 403, 4.518610, 1, 14, 2, 4, 6
38, 383, 4.751958, 1, 17, 3, 5, 7
39, 392, 4.625000, 1, 15, 3, 4, 6
40, 427, 4.217799, 0, 15, 1, 4, 6
41, 396, 4.573232, 1, 15, 2, 4, 6
42, 403, 4.476427, 0, 16, 1, 4, 6
43, 426, 4.215962, 0, 13, 1, 4, 6
44, 396, 4.553030, 0, 20, 2, 4, 6
45, 380, 4.768421, 0, 46, 3, 5, 6
46, 381, 4.727034, 1, 15, 3, 5, 6
47, 397, 4.564232, 1, 12, 3, 4, 6
48, 398, 4.520101, 1, 15, 1, 4, 6
49, 411, 4.384428, 1, 15, 1, 4, 6
50, 435, 4.124138, 1, 14, 1, 4, 6
51, 416, 4.353365, 1, 25, 2, 4, 6
52, 380, 4.778947, 1, 17, 3, 4, 7
53, 425, 4.200000, 0, 17, 1, 4, 6
54, 401, 4.481297, 1, 46, 1, 4, 6
55, 405, 4.493827, 1, 20, 2, 4, 6
56, 409, 4.403423, 1, 14, 1, 4, 6
57, 376, 4.827128, 1, 17, 3, 5, 7
58, 384, 4.729167, 0, 13, 2, 4, 7
59, 442, 4.024887, 1, 15, 1, 4, 6
60, 2, 7.500000, 5, 10, 5, 7, 10
