time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 177, 10.813559, 2, 48, 4, 9, 16
1, 207, 9.140097, 2, 24, 3, 7, 15
2, 201, 9.462687, 2, 39, 3, 8, 15
3, 208, 9.086538, 2, 32, 3, 7, 14
4, 204, 9.313725, 2, 24, 3, 9, 14
5, 209, 9.028708, 2, 40, 3, 8, 13
6, 195, 9.728205, 2, 24, 3, 10, 15
7, 196, 9.755102, 2, 32, 3, 9, 15
8, 198, 9.601010, 2, 25, 3, 10, 15
9, 202, 9.356436, 2, 49, 3, 6, 14
10, 190, 9.984211, 2, 27, 4, 10, 15
11, 204, 9.303922, 2, 38, 3, 8, 15
12, 202, 9.381188, 2, 26, 3, 7, 14
13, 205, 9.234146, 2, 36, 3, 7, 14
14, 207, 9.178744, 2, 26, 3, 9, 15
15, 194, 9.850515, 2, 45, 4, 8, 15
16, 199, 9.507538, 2, 25, 3, 9, 15
17, 197, 9.680203, 2, 37, 4, 9, 15
18, 215, 8.809302, 2, 26, 3, 6, 14
19, 198, 9.555556, 2, 41, 3, 9, 15
20, 194, 9.752577, 2, 40, 3, 8, 15
21, 213, 8.877934, 1, 25, 3, 8, 14
22, 215, 8.869767, 2, 36, 3, 4, 14
23, 215, 8.725581, 2, 27, 3, 6, 14
24, 208, 9.062500, 2, 37, 3, 5, 15
25, 194, 9.814433, 2, 23, 3, 10, 15
26, 225, 8.346667, 2, 43, 3, 5, 13
27, 187, 10.229947, 2, 27, 3, 11, 16
28, 206, 9.228155, 2, 46, 3, 6, 15
29, 214, 8.831776, 2, 26, 3, 7, 14
30, 189, 10.074074, 2, 35, 3, 10, 15
31, 216, 8.736111, 2, 23, 3, 7, 14
32, 200, 9.430000, 2, 39, 3, 8, 14
33, 196, 9.698980, 2, 27, 4, 10, 15
34, 226, 8.349558, 2, 36, 3, 6, 13
35, 186, 10.225806, 2, 43, 3, 9, 16
36, 192, 9.885417, 2, 24, 3, 9, 16
37, 209, 9.014354, 2, 42, 3, 7, 14
38, 205, 9.331707, 2, 24, 3, 8, 14
39, 194, 9.798969, 2, 37, 4, 9, 16
40, 194, 9.737113, 2, 34, 3, 9, 15
41, 213, 8.901408, 2, 40, 3, 6, 14
42, 200, 9.500000, 2, 22, 3, 9, 15
43, 181, 10.497238, 2, 35, 3, 10, 17
44, 220, 8.586364, 2, 29, 3, 6, 13
45, 199, 9.547739, 2, 43, 3, 9, 15
46, 213, 8.901408, 2, 25, 3, 8, 14
47, 193, 9.777202, 2, 37, 3, 9, 15
48, 210, 8.976190, 1, 25, 3, 8, 13
49, 196, 9.744898, 2, 40, 3, 9, 15
50, 211, 8.938389, 2, 23, 3, 9, 14
51, 185, 10.318919, 2, 41, 3, 9, 16
52, 209, 9.071770, 2, 28, 3, 8, 14
53, 202, 9.415842, 2, 35, 3, 9, 15
54, 222, 8.527027, 1, 25, 3, 5, 13
55, 198, 9.606061, 2, 38, 3, 9, 14
56, 198, 9.540404, 2, 44, 3, 7, 14
57, 149, 12.859060, 2, 43, 5, 10, 18
58, 198, 9.626263, 2, 39, 3, 7, 15
59, 198, 9.555556, 2, 45, 3, 6, 15
60, 1, 8.000000, 8, 8, 8, 8, 8
