time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 5489, 0.122244, 0, 6, 0, 0, 0
1, 5489, 0.122244, 0, 6, 0, 0, 0
2, 5464, 0.134517, 0, 6, 0, 0, 0
3, 5777, 0.099360, 0, 8, 0, 0, 0
4, 5918, 0.090064, 0, 7, 0, 0, 0
5, 5857, 0.091685, 0, 7, 0, 0, 0
6, 5617, 0.105216, 0, 7, 0, 0, 0
7, 5872, 0.085320, 0, 7, 0, 0, 0
8, 5749, 0.098278, 0, 7, 0, 0, 0
9, 5764, 0.101145, 0, 6, 0, 0, 0
10, 5854, 0.087803, 0, 6, 0, 0, 0
11, 5709, 0.099317, 0, 6, 0, 0, 0
12, 5551, 0.117096, 0, 7, 0, 0, 0
13, 5887, 0.085782, 0, 6, 0, 0, 0
14, 5703, 0.107312, 0, 7, 0, 0, 0
15, 5984, 0.083222, 0, 6, 0, 0, 0
16, 5896, 0.090231, 0, 6, 0, 0, 0
17, 5948, 0.079859, 0, 6, 0, 0, 0
18, 5940, 0.079966, 0, 6, 0, 0, 0
19, 5890, 0.083871, 0, 6, 0, 0, 0
20, 5765, 0.095750, 0, 6, 0, 0, 0
21, 5162, 0.168733, 0, 12, 0, 0, 0
22, 5656, 0.113331, 0, 6, 0, 0, 0
23, 5867, 0.087609, 0, 6, 0, 0, 0
24, 5954, 0.085321, 0, 6, 0, 0, 0
25, 6013, 0.076667, 0, 6, 0, 0, 0
26, 5737, 0.103538, 0, 6, 0, 0, 0
27, 5749, 0.096365, 0, 7, 0, 0, 0
28, 5890, 0.087776, 0, 6, 0, 0, 0
29, 5673, 0.110700, 0, 7, 0, 0, 0
30, 5739, 0.102283, 0, 6, 0, 0, 0
31, 5584, 0.119807, 0, 6, 0, 0, 0
32, 5910, 0.088156, 0, 6, 0, 0, 0
33, 5916, 0.084517, 0, 6, 0, 0, 0
34, 5972, 0.076524, 0, 6, 0, 0, 0
35, 5824, 0.091003, 0, 6, 0, 0, 0
36, 5874, 0.088866, 0, 6, 0, 0, 0
37, 5314, 0.143018, 0, 7, 0, 0, 0
38, 4940, 0.188664, 0, 7, 0, 0, 0
39, 5296, 0.140483, 0, 7, 0, 0, 0
40, 5391, 0.129846, 0, 6, 0, 0, 0
41, 5286, 0.138101, 0, 6, 0, 0, 0
42, 5083, 0.163289, 0, 6, 0, 0, 0
43, 5234, 0.162400, 0, 31, 0, 0, 0
44, 5472, 0.125365, 0, 6, 0, 0, 0
45, 5363, 0.130897, 0, 6, 0, 0, 0
46, 4999, 0.175035, 0, 6, 0, 0, 0
47, 4603, 0.218553, 0, 6, 0, 0, 0
48, 5336, 0.139243, 0, 7, 0, 0, 0
49, 5503, 0.128475, 0, 6, 0, 0, 0
50, 4904, 0.194943, 0, 7, 0, 0, 0
51, 4885, 0.184442, 0, 11, 0, 0, 0
52, 5679, 0.108646, 0, 6, 0, 0, 0
53, 5889, 0.082697, 0, 6, 0, 0, 0
54, 5771, 0.098943, 0, 7, 0, 0, 0
55, 6057, 0.072643, 0, 7, 0, 0, 0
56, 5918, 0.090402, 0, 33, 0, 0, 0
57, 6244, 0.059577, 0, 6, 0, 0, 0
58, 5889, 0.088300, 0, 6, 0, 0, 0
59, 5915, 0.078276, 0, 6, 0, 0, 0
60, 10, 2.900000, 0, 7, 0, 0, 7
