time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4019, 24.337646, 0, 129, 15, 21, 30
1, 3919, 24.926002, 1, 146, 15, 22, 31
2, 3875, 25.240516, 1, 149, 15, 22, 31
3, 4018, 24.395719, 0, 130, 14, 21, 31
4, 3931, 25.033325, 0, 166, 14, 21, 31
5, 4284, 22.747199, 0, 131, 13, 20, 28
6, 4153, 23.574765, 1, 153, 14, 21, 29
7, 4037, 24.221947, 0, 124, 14, 21, 30
8, 4092, 24.003666, 0, 140, 14, 21, 30
9, 4250, 22.931529, 1, 175, 14, 20, 28
10, 4013, 24.360827, 1, 153, 15, 22, 30
11, 4006, 24.520719, 0, 158, 15, 22, 30
12, 4199, 23.254584, 0, 147, 14, 20, 29
13, 4063, 24.120847, 1, 141, 15, 21, 30
14, 3991, 24.463292, 1, 165, 15, 21, 30
15, 4306, 22.662099, 1, 206, 13, 20, 28
16, 4229, 23.209742, 1, 128, 13, 20, 29
17, 4099, 23.869968, 0, 173, 14, 21, 30
18, 4135, 23.689238, 0, 143, 14, 21, 29
19, 3932, 24.872330, 1, 193, 15, 22, 31
20, 4135, 23.613543, 1, 140, 14, 20, 29
21, 4025, 24.353043, 0, 135, 14, 21, 30
22, 4104, 23.879873, 1, 250, 14, 21, 29
23, 4064, 24.076526, 1, 144, 15, 21, 30
24, 3952, 24.732540, 1, 148, 15, 22, 30
25, 4008, 24.463074, 0, 166, 15, 22, 30
26, 4117, 23.752004, 0, 168, 14, 20, 29
27, 3974, 24.649220, 1, 132, 14, 21, 30
28, 4092, 23.844086, 0, 132, 14, 21, 29
29, 3965, 24.676671, 1, 161, 15, 22, 30
30, 4145, 23.679614, 1, 157, 14, 21, 29
31, 4171, 23.501798, 1, 135, 14, 20, 29
32, 4518, 21.632138, 1, 137, 13, 19, 27
33, 4266, 22.784576, 1, 136, 13, 20, 28
34, 3973, 24.746539, 1, 180, 15, 22, 30
35, 4210, 23.190974, 1, 157, 14, 20, 29
36, 4056, 24.131657, 1, 144, 14, 21, 30
37, 3965, 24.706936, 1, 154, 15, 22, 30
38, 3990, 24.529574, 1, 166, 14, 22, 31
39, 3942, 24.798833, 0, 160, 15, 22, 30
40, 3924, 25.016310, 1, 130, 15, 22, 31
41, 4114, 23.640010, 1, 132, 14, 21, 29
42, 4125, 23.864970, 0, 127, 14, 21, 30
43, 4067, 24.024588, 0, 158, 14, 21, 30
44, 4439, 22.024105, 0, 180, 13, 19, 28
45, 4381, 22.345811, 1, 133, 13, 20, 28
46, 3954, 24.651492, 1, 163, 15, 22, 30
47, 4232, 23.182892, 0, 155, 14, 20, 29
48, 3941, 24.851307, 0, 139, 15, 22, 30
49, 4186, 23.388915, 0, 141, 14, 20, 29
50, 4206, 23.164051, 0, 165, 13, 20, 29
51, 4264, 22.941135, 0, 121, 14, 20, 29
52, 4428, 22.028455, 0, 170, 13, 19, 27
53, 4011, 24.431314, 1, 154, 15, 21, 31
54, 3996, 24.483483, 1, 168, 14, 22, 30
55, 4147, 23.627200, 0, 116, 14, 20, 29
56, 4204, 23.297812, 1, 151, 14, 20, 29
57, 4414, 21.995242, 0, 150, 13, 19, 28
58, 4084, 24.120960, 0, 124, 14, 21, 29
59, 4261, 22.946726, 0, 167, 13, 20, 29
60, 10, 22.600000, 8, 68, 13, 15, 22
