time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3152, 0.708756, 0, 15, 0, 0, 1
1, 3495, 0.565093, 0, 12, 0, 0, 1
2, 4029, 0.405311, 0, 11, 0, 0, 1
3, 3945, 0.414956, 0, 12, 0, 0, 1
4, 3917, 0.425836, 0, 14, 0, 0, 1
5, 4137, 0.359681, 0, 12, 0, 0, 0
6, 3694, 0.502707, 0, 16, 0, 0, 1
7, 3195, 0.675430, 0, 28, 0, 0, 1
8, 3581, 0.539793, 0, 16, 0, 0, 1
9, 3543, 0.559977, 0, 18, 0, 0, 1
10, 3959, 0.425107, 0, 12, 0, 0, 1
11, 3772, 0.471633, 0, 14, 0, 0, 1
12, 3223, 0.648464, 0, 12, 0, 0, 1
13, 3909, 0.430545, 0, 12, 0, 0, 1
14, 3597, 0.520990, 0, 44, 0, 0, 1
15, 3326, 0.624173, 0, 14, 0, 0, 1
16, 3624, 0.521247, 0, 12, 0, 0, 1
17, 3909, 0.445127, 0, 12, 0, 0, 1
18, 3646, 0.521119, 0, 11, 0, 0, 1
19, 3874, 0.439855, 0, 16, 0, 0, 1
20, 3909, 0.436429, 0, 14, 0, 0, 1
21, 3978, 0.408748, 0, 16, 0, 0, 1
22, 3401, 0.608939, 0, 13, 0, 0, 1
23, 3778, 0.471413, 0, 11, 0, 0, 1
24, 3320, 0.623795, 0, 17, 0, 0, 1
25, 3283, 0.644532, 0, 13, 0, 0, 1
26, 3609, 0.523414, 0, 11, 0, 0, 1
27, 3852, 0.456906, 0, 13, 0, 0, 1
28, 3884, 0.446704, 0, 17, 0, 0, 1
29, 3959, 0.417025, 0, 13, 0, 0, 1
30, 3887, 0.434268, 0, 12, 0, 0, 1
31, 3865, 0.442691, 0, 10, 0, 0, 1
32, 3733, 0.491562, 0, 13, 0, 0, 1
33, 3881, 0.428498, 0, 20, 0, 0, 1
34, 3770, 0.475862, 0, 17, 0, 0, 1
35, 3401, 0.601588, 0, 19, 0, 0, 1
36, 3882, 0.441267, 0, 19, 0, 0, 1
37, 3707, 0.502023, 0, 11, 0, 0, 1
38, 3588, 0.533724, 0, 21, 0, 0, 1
39, 3856, 0.454616, 0, 12, 0, 0, 1
40, 3563, 0.536065, 0, 13, 0, 0, 1
41, 3080, 0.734416, 0, 14, 0, 1, 1
42, 3147, 0.709565, 0, 36, 0, 0, 1
43, 3254, 0.663491, 0, 15, 0, 0, 1
44, 3311, 0.627907, 0, 22, 0, 0, 1
45, 2877, 0.806048, 0, 14, 0, 1, 1
46, 2696, 0.918027, 0, 16, 0, 1, 1
47, 2463, 1.051563, 0, 25, 0, 1, 1
48, 2640, 0.981818, 0, 19, 0, 1, 1
49, 2985, 0.779564, 0, 21, 0, 1, 1
50, 3104, 0.717784, 0, 15, 0, 0, 1
51, 3568, 0.540078, 0, 16, 0, 0, 1
52, 3752, 0.485608, 0, 15, 0, 0, 1
53, 3665, 0.506685, 0, 18, 0, 0, 1
54, 3469, 0.575958, 0, 13, 0, 0, 1
55, 3468, 0.579873, 0, 11, 0, 0, 1
56, 3533, 0.548542, 0, 12, 0, 0, 1
57, 3187, 0.682774, 0, 34, 0, 0, 1
58, 3251, 0.653337, 0, 23, 0, 0, 1
59, 3454, 0.590041, 0, 35, 0, 0, 1
60, 13, 0.615385, 0, 3, 0, 0, 1
