time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2062, 1.440834, 0, 5, 1, 1, 2
1, 2062, 1.440834, 0, 5, 1, 1, 2
2, 2087, 1.424533, 0, 4, 1, 1, 2
3, 2118, 1.395656, 0, 8, 1, 1, 2
4, 2087, 1.433158, 0, 8, 1, 1, 2
5, 2132, 1.388837, 0, 6, 1, 1, 2
6, 2036, 1.459234, 0, 5, 1, 1, 2
7, 1907, 1.596749, 0, 50, 1, 1, 2
8, 2136, 1.385300, 0, 5, 1, 1, 2
9, 2084, 1.422265, 0, 5, 1, 1, 2
10, 2170, 1.359447, 0, 5, 1, 1, 2
11, 2115, 1.393381, 0, 5, 1, 1, 2
12, 1975, 1.528608, 0, 7, 1, 1, 2
13, 2138, 1.376052, 0, 5, 1, 1, 2
14, 2048, 1.467285, 0, 7, 1, 1, 2
15, 2091, 1.428503, 0, 5, 1, 1, 2
16, 2065, 1.433414, 0, 6, 1, 1, 2
17, 2048, 1.455078, 0, 6, 1, 1, 2
18, 2043, 1.465002, 0, 6, 1, 1, 2
19, 2059, 1.446333, 0, 10, 1, 1, 2
20, 2059, 1.443905, 0, 5, 1, 1, 2
21, 2052, 1.450780, 0, 6, 1, 1, 2
22, 2011, 1.490801, 0, 5, 1, 1, 2
23, 2069, 1.447559, 0, 5, 1, 1, 2
24, 2055, 1.449635, 0, 5, 1, 1, 2
25, 2022, 1.486152, 0, 7, 1, 1, 2
26, 2069, 1.431609, 0, 6, 1, 1, 2
27, 2093, 1.417582, 0, 5, 1, 1, 2
28, 2096, 1.419847, 0, 6, 1, 1, 2
29, 2094, 1.417861, 0, 5, 1, 1, 2
30, 2043, 1.461087, 0, 6, 1, 1, 2
31, 2021, 1.470064, 0, 6, 1, 1, 2
32, 2056, 1.443093, 0, 6, 1, 1, 2
33, 2040, 1.467157, 0, 9, 1, 1, 2
34, 2046, 1.461877, 0, 5, 1, 1, 2
35, 2132, 1.394465, 0, 6, 1, 1, 2
36, 2093, 1.415194, 0, 5, 1, 1, 2
37, 1864, 1.639485, 0, 44, 1, 1, 2
38, 2078, 1.429259, 0, 5, 1, 1, 2
39, 2031, 1.460857, 0, 6, 1, 1, 2
40, 2013, 1.494287, 0, 6, 1, 1, 2
41, 2123, 1.388130, 0, 5, 1, 1, 2
42, 2072, 1.436293, 0, 7, 1, 1, 2
43, 2093, 1.419494, 0, 5, 1, 1, 2
44, 2058, 1.459670, 0, 5, 1, 1, 2
45, 2116, 1.400756, 0, 6, 1, 1, 2
46, 2117, 1.405763, 0, 5, 1, 1, 2
47, 2039, 1.464934, 0, 6, 1, 1, 2
48, 2021, 1.477486, 0, 6, 1, 1, 2
49, 2048, 1.450684, 0, 6, 1, 1, 2
50, 2030, 1.471921, 0, 5, 1, 1, 2
51, 2088, 1.429119, 0, 6, 1, 1, 2
52, 2104, 1.412072, 0, 5, 1, 1, 2
53, 2042, 1.466699, 0, 5, 1, 1, 2
54, 2052, 1.465887, 0, 6, 1, 1, 2
55, 2057, 1.442878, 0, 5, 1, 1, 2
56, 2057, 1.448712, 0, 5, 1, 1, 2
57, 2125, 1.401412, 0, 6, 1, 1, 2
58, 2062, 1.443259, 0, 5, 1, 1, 2
59, 2077, 1.428503, 0, 5, 1, 1, 2
60, 3, 2.666667, 2, 4, 2, 2, 4
