time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 5068, 1.851223, 0, 10, 1, 2, 2
1, 4952, 1.901050, 0, 16, 1, 2, 2
2, 5082, 1.846714, 0, 21, 1, 2, 2
3, 5118, 1.831379, 0, 20, 1, 2, 2
4, 5050, 1.871683, 0, 11, 1, 2, 2
5, 5040, 1.860913, 0, 10, 1, 2, 2
6, 5196, 1.814473, 0, 12, 1, 1, 2
7, 4948, 1.916330, 0, 11, 1, 2, 2
8, 5093, 1.841155, 0, 9, 1, 2, 2
9, 5223, 1.791308, 0, 10, 1, 1, 2
10, 5045, 1.852329, 0, 13, 1, 2, 2
11, 4963, 1.885150, 0, 24, 1, 2, 2
12, 5185, 1.808679, 0, 14, 1, 1, 2
13, 4947, 1.898322, 0, 10, 1, 2, 2
14, 5075, 1.842956, 0, 11, 1, 2, 2
15, 5012, 1.869912, 0, 16, 1, 2, 2
16, 5159, 1.810428, 0, 8, 1, 2, 2
17, 5209, 1.791707, 0, 9, 1, 1, 2
18, 5149, 1.818994, 0, 16, 1, 1, 2
19, 5093, 1.822894, 0, 9, 1, 2, 2
20, 5136, 1.825545, 0, 16, 1, 2, 2
21, 5057, 1.847538, 0, 9, 1, 2, 2
22, 4953, 1.899051, 0, 21, 1, 2, 2
23, 4932, 1.906934, 0, 8, 1, 2, 2
24, 4856, 1.953048, 0, 26, 1, 2, 2
25, 5206, 1.780061, 0, 8, 1, 2, 2
26, 5173, 1.804176, 0, 10, 1, 2, 2
27, 5115, 1.821505, 0, 9, 1, 2, 2
28, 5065, 1.848174, 0, 9, 1, 2, 2
29, 5177, 1.799111, 0, 8, 1, 2, 2
30, 5061, 1.854969, 0, 8, 1, 2, 2
31, 4967, 1.897322, 0, 9, 1, 2, 2
32, 4979, 1.893553, 0, 10, 1, 2, 2
33, 5015, 1.868195, 0, 8, 1, 2, 2
34, 5293, 1.746080, 0, 11, 1, 1, 2
35, 5277, 1.758006, 0, 13, 1, 1, 2
36, 5264, 1.778875, 0, 8, 1, 1, 2
37, 4960, 1.900000, 0, 16, 1, 2, 2
38, 4815, 1.966771, 0, 16, 1, 2, 2
39, 4859, 1.955752, 0, 15, 1, 2, 2
40, 4904, 1.924144, 0, 17, 1, 2, 2
41, 5034, 1.861144, 0, 9, 1, 2, 2
42, 4949, 1.904829, 0, 8, 1, 2, 2
43, 5074, 1.847063, 0, 9, 1, 2, 2
44, 5011, 1.876073, 0, 7, 1, 2, 2
45, 4740, 1.998101, 0, 13, 1, 2, 3
46, 5055, 1.846489, 0, 8, 1, 2, 2
47, 4832, 1.960058, 0, 11, 1, 2, 2
48, 4913, 1.912274, 0, 12, 1, 2, 2
49, 5121, 1.827573, 0, 10, 1, 2, 2
50, 5189, 1.793409, 0, 8, 1, 2, 2
51, 5029, 1.871744, 0, 18, 1, 2, 2
52, 4936, 1.904376, 0, 8, 1, 2, 2
53, 4884, 1.942875, 0, 18, 1, 2, 2
54, 4678, 2.038264, 0, 29, 1, 2, 3
55, 5014, 1.869765, 0, 20, 1, 2, 2
56, 5086, 1.841722, 0, 9, 1, 2, 2
57, 4983, 1.887819, 0, 8, 1, 2, 2
58, 4925, 1.904772, 0, 8, 1, 2, 2
59, 5159, 1.802481, 0, 9, 1, 2, 2
60, 11, 1.727273, 1, 3, 1, 2, 2
