time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4487, 0.303544, 0, 5, 0, 0, 1
1, 4496, 0.304493, 0, 4, 0, 0, 1
2, 4413, 0.315432, 0, 5, 0, 0, 1
3, 4346, 0.329498, 0, 5, 0, 0, 1
4, 4266, 0.354665, 0, 6, 0, 0, 1
5, 4370, 0.325858, 0, 5, 0, 0, 1
6, 4398, 0.321965, 0, 6, 0, 0, 1
7, 4326, 0.335183, 0, 6, 0, 0, 1
8, 4421, 0.311468, 0, 5, 0, 0, 1
9, 4417, 0.315599, 0, 6, 0, 0, 1
10, 4411, 0.313081, 0, 4, 0, 0, 1
11, 4453, 0.306310, 0, 5, 0, 0, 1
12, 4403, 0.319555, 0, 6, 0, 0, 1
13, 4416, 0.320199, 0, 8, 0, 0, 1
14, 4353, 0.330577, 0, 5, 0, 0, 1
15, 4389, 0.315106, 0, 4, 0, 0, 1
16, 4258, 0.350869, 0, 6, 0, 0, 1
17, 4273, 0.349403, 0, 7, 0, 0, 1
18, 4376, 0.326097, 0, 7, 0, 0, 1
19, 4446, 0.307467, 0, 5, 0, 0, 1
20, 4345, 0.335098, 0, 5, 0, 0, 1
21, 4524, 0.291335, 0, 4, 0, 0, 1
22, 4182, 0.340746, 0, 6, 0, 0, 1
23, 4295, 0.355995, 0, 36, 0, 0, 1
24, 4295, 0.345052, 0, 6, 0, 0, 1
25, 4281, 0.339173, 0, 5, 0, 0, 1
26, 4248, 0.351460, 0, 17, 0, 0, 1
27, 4342, 0.335329, 0, 6, 0, 0, 1
28, 4395, 0.321729, 0, 7, 0, 0, 1
29, 4401, 0.319246, 0, 7, 0, 0, 1
30, 4323, 0.335647, 0, 8, 0, 0, 1
31, 4356, 0.331956, 0, 5, 0, 0, 1
32, 4302, 0.340307, 0, 5, 0, 0, 1
33, 4298, 0.339693, 0, 5, 0, 0, 1
34, 4334, 0.338948, 0, 5, 0, 0, 1
35, 4459, 0.304777, 0, 4, 0, 0, 1
36, 4385, 0.320182, 0, 5, 0, 0, 1
37, 4402, 0.318719, 0, 4, 0, 0, 1
38, 4408, 0.318512, 0, 4, 0, 0, 1
39, 4264, 0.346857, 0, 6, 0, 0, 1
40, 4279, 0.348913, 0, 5, 0, 0, 1
41, 4097, 0.379058, 0, 6, 0, 0, 1
42, 4255, 0.347121, 0, 5, 0, 0, 1
43, 4299, 0.336823, 0, 7, 0, 0, 1
44, 4423, 0.314040, 0, 7, 0, 0, 1
45, 4324, 0.333025, 0, 5, 0, 0, 1
46, 4233, 0.339239, 0, 4, 0, 0, 1
47, 4434, 0.309878, 0, 6, 0, 0, 1
48, 4366, 0.322950, 0, 5, 0, 0, 1
49, 4243, 0.345982, 0, 7, 0, 0, 1
50, 4245, 0.356184, 0, 5, 0, 0, 1
51, 4369, 0.321355, 0, 6, 0, 0, 1
52, 4273, 0.342850, 0, 6, 0, 0, 1
53, 4190, 0.367064, 0, 24, 0, 0, 1
54, 4426, 0.322639, 0, 5, 0, 0, 1
55, 4470, 0.311409, 0, 5, 0, 0, 1
56, 4423, 0.317884, 0, 6, 0, 0, 1
57, 4328, 0.337338, 0, 6, 0, 0, 1
58, 4291, 0.349336, 0, 4, 0, 0, 1
59, 4390, 0.321412, 0, 5, 0, 0, 1
60, 21, 0.238095, 0, 1, 0, 0, 0
