time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4459, 0.291994, 0, 4, 0, 0, 1
1, 4384, 0.302007, 0, 5, 0, 0, 1
2, 4863, 0.236068, 0, 4, 0, 0, 0
3, 4897, 0.231570, 0, 4, 0, 0, 0
4, 4703, 0.261323, 0, 5, 0, 0, 1
5, 4808, 0.248960, 0, 5, 0, 0, 0
6, 4764, 0.254408, 0, 5, 0, 0, 1
7, 4823, 0.249015, 0, 5, 0, 0, 0
8, 4822, 0.245334, 0, 4, 0, 0, 0
9, 4732, 0.256762, 0, 4, 0, 0, 1
10, 4624, 0.276168, 0, 5, 0, 0, 1
11, 4652, 0.275150, 0, 5, 0, 0, 1
12, 4808, 0.244800, 0, 4, 0, 0, 0
13, 4903, 0.237406, 0, 4, 0, 0, 0
14, 4870, 0.235113, 0, 4, 0, 0, 0
15, 4908, 0.230644, 0, 4, 0, 0, 0
16, 4774, 0.248429, 0, 4, 0, 0, 0
17, 4763, 0.242074, 0, 7, 0, 0, 0
18, 4696, 0.263629, 0, 4, 0, 0, 1
19, 4713, 0.255888, 0, 4, 0, 0, 0
20, 4613, 0.266638, 0, 5, 0, 0, 1
21, 4646, 0.281102, 0, 4, 0, 0, 1
22, 4885, 0.235619, 0, 4, 0, 0, 0
23, 4934, 0.236319, 0, 4, 0, 0, 0
24, 4978, 0.216754, 0, 4, 0, 0, 0
25, 4894, 0.239477, 0, 4, 0, 0, 0
26, 4500, 0.294000, 0, 30, 0, 0, 1
27, 4935, 0.230193, 0, 5, 0, 0, 0
28, 4622, 0.273907, 0, 5, 0, 0, 1
29, 4654, 0.261281, 0, 4, 0, 0, 1
30, 4622, 0.279316, 0, 5, 0, 0, 1
31, 4969, 0.224391, 0, 4, 0, 0, 0
32, 4948, 0.226354, 0, 4, 0, 0, 0
33, 4967, 0.218039, 0, 4, 0, 0, 0
34, 4962, 0.223297, 0, 4, 0, 0, 0
35, 4910, 0.237475, 0, 5, 0, 0, 0
36, 4799, 0.253803, 0, 4, 0, 0, 0
37, 4681, 0.268319, 0, 4, 0, 0, 1
38, 4754, 0.265881, 0, 5, 0, 0, 1
39, 4936, 0.229335, 0, 4, 0, 0, 0
40, 4883, 0.236740, 0, 4, 0, 0, 0
41, 4934, 0.225780, 0, 4, 0, 0, 0
42, 4836, 0.243797, 0, 4, 0, 0, 0
43, 4803, 0.247762, 0, 5, 0, 0, 0
44, 4801, 0.252031, 0, 4, 0, 0, 0
45, 4570, 0.272429, 0, 5, 0, 0, 1
46, 4732, 0.259721, 0, 5, 0, 0, 1
47, 4962, 0.226723, 0, 4, 0, 0, 0
48, 4886, 0.229636, 0, 4, 0, 0, 0
49, 4774, 0.258483, 0, 4, 0, 0, 1
50, 4918, 0.228955, 0, 5, 0, 0, 0
51, 4894, 0.233551, 0, 4, 0, 0, 0
52, 4784, 0.254599, 0, 4, 0, 0, 0
53, 4786, 0.258671, 0, 4, 0, 0, 1
54, 4822, 0.251141, 0, 4, 0, 0, 0
55, 4784, 0.252299, 0, 4, 0, 0, 0
56, 4466, 0.298030, 0, 29, 0, 0, 1
57, 4833, 0.245603, 0, 5, 0, 0, 0
58, 4849, 0.239843, 0, 4, 0, 0, 0
59, 4844, 0.237407, 0, 4, 0, 0, 0
60, 4, 0.500000, 0, 1, 0, 0, 1
