time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4598, 0.275772, 0, 4, 0, 0, 1
1, 4421, 0.295861, 0, 5, 0, 0, 1
2, 4576, 0.285839, 0, 5, 0, 0, 1
3, 4654, 0.267942, 0, 5, 0, 0, 1
4, 4622, 0.274340, 0, 4, 0, 0, 1
5, 4717, 0.266695, 0, 5, 0, 0, 0
6, 4652, 0.269991, 0, 4, 0, 0, 1
7, 4828, 0.235915, 0, 4, 0, 0, 0
8, 4754, 0.261254, 0, 5, 0, 0, 0
9, 4750, 0.253684, 0, 5, 0, 0, 0
10, 4834, 0.244104, 0, 4, 0, 0, 0
11, 4808, 0.245424, 0, 5, 0, 0, 0
12, 4666, 0.266824, 0, 6, 0, 0, 0
13, 4497, 0.298644, 0, 6, 0, 0, 1
14, 4644, 0.265935, 0, 5, 0, 0, 1
15, 4323, 0.321305, 0, 28, 0, 0, 1
16, 4426, 0.306823, 0, 5, 0, 0, 1
17, 4680, 0.265171, 0, 5, 0, 0, 0
18, 4753, 0.262992, 0, 4, 0, 0, 1
19, 4740, 0.259916, 0, 5, 0, 0, 0
20, 4716, 0.264207, 0, 5, 0, 0, 0
21, 4524, 0.293103, 0, 4, 0, 0, 1
22, 4576, 0.286058, 0, 5, 0, 0, 1
23, 4499, 0.292509, 0, 5, 0, 0, 1
24, 4809, 0.247661, 0, 5, 0, 0, 0
25, 4694, 0.263528, 0, 5, 0, 0, 0
26, 4813, 0.246000, 0, 5, 0, 0, 0
27, 4708, 0.260833, 0, 6, 0, 0, 0
28, 4581, 0.285527, 0, 5, 0, 0, 1
29, 4622, 0.276936, 0, 4, 0, 0, 1
30, 4735, 0.264414, 0, 5, 0, 0, 1
31, 4853, 0.241706, 0, 4, 0, 0, 0
32, 4785, 0.255590, 0, 4, 0, 0, 0
33, 4736, 0.258446, 0, 4, 0, 0, 0
34, 4655, 0.266595, 0, 4, 0, 0, 1
35, 4550, 0.291648, 0, 9, 0, 0, 1
36, 4691, 0.267320, 0, 5, 0, 0, 1
37, 4650, 0.274194, 0, 4, 0, 0, 1
38, 4766, 0.251154, 0, 4, 0, 0, 0
39, 4721, 0.266681, 0, 6, 0, 0, 1
40, 4559, 0.284712, 0, 5, 0, 0, 1
41, 4558, 0.296621, 0, 5, 0, 0, 1
42, 4650, 0.270968, 0, 5, 0, 0, 1
43, 4633, 0.276711, 0, 4, 0, 0, 1
44, 4870, 0.230390, 0, 4, 0, 0, 0
45, 4453, 0.306310, 0, 23, 0, 0, 1
46, 4689, 0.271700, 0, 4, 0, 0, 1
47, 4581, 0.286619, 0, 5, 0, 0, 1
48, 4619, 0.278848, 0, 5, 0, 0, 1
49, 4720, 0.261229, 0, 5, 0, 0, 0
50, 4767, 0.252780, 0, 4, 0, 0, 0
51, 4810, 0.247401, 0, 5, 0, 0, 0
52, 4685, 0.274920, 0, 5, 0, 0, 1
53, 4549, 0.292372, 0, 6, 0, 0, 1
54, 4563, 0.283805, 0, 5, 0, 0, 1
55, 4544, 0.284991, 0, 4, 0, 0, 1
56, 4753, 0.255207, 0, 4, 0, 0, 0
57, 4781, 0.248484, 0, 5, 0, 0, 0
58, 4765, 0.253305, 0, 5, 0, 0, 0
59, 4519, 0.300952, 0, 6, 0, 0, 1
60, 4, 0.250000, 0, 1, 0, 0, 0
