time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4725, 0.259259, 0, 4, 0, 0, 0
1, 4599, 0.283540, 0, 6, 0, 0, 1
2, 4675, 0.275508, 0, 7, 0, 0, 0
3, 4609, 0.284010, 0, 5, 0, 0, 1
4, 4740, 0.261392, 0, 5, 0, 0, 0
5, 4764, 0.257137, 0, 4, 0, 0, 0
6, 4396, 0.309372, 0, 5, 0, 0, 1
7, 4597, 0.286491, 0, 6, 0, 0, 1
8, 4574, 0.282029, 0, 5, 0, 0, 1
9, 4520, 0.300664, 0, 21, 0, 0, 1
10, 4830, 0.249275, 0, 5, 0, 0, 0
11, 4800, 0.254792, 0, 5, 0, 0, 0
12, 4713, 0.267982, 0, 6, 0, 0, 0
13, 4578, 0.283311, 0, 4, 0, 0, 1
14, 4699, 0.272824, 0, 5, 0, 0, 1
15, 4666, 0.276897, 0, 5, 0, 0, 1
16, 4651, 0.279725, 0, 4, 0, 0, 1
17, 4582, 0.286556, 0, 5, 0, 0, 1
18, 4766, 0.263533, 0, 4, 0, 0, 0
19, 4771, 0.259275, 0, 4, 0, 0, 0
20, 4639, 0.281742, 0, 5, 0, 0, 1
21, 4669, 0.269008, 0, 4, 0, 0, 1
22, 4607, 0.286086, 0, 4, 0, 0, 1
23, 4508, 0.299468, 0, 6, 0, 0, 1
24, 4584, 0.296902, 0, 5, 0, 0, 1
25, 4635, 0.281553, 0, 5, 0, 0, 1
26, 4773, 0.256862, 0, 4, 0, 0, 0
27, 4697, 0.270811, 0, 5, 0, 0, 1
28, 4597, 0.284751, 0, 6, 0, 0, 1
29, 4671, 0.273175, 0, 7, 0, 0, 1
30, 4485, 0.303456, 0, 6, 0, 0, 1
31, 4516, 0.293401, 0, 6, 0, 0, 1
32, 4542, 0.290841, 0, 5, 0, 0, 1
33, 4681, 0.276223, 0, 4, 0, 0, 1
34, 4721, 0.267316, 0, 5, 0, 0, 1
35, 4647, 0.283193, 0, 5, 0, 0, 1
36, 4846, 0.243087, 0, 5, 0, 0, 0
37, 4677, 0.279666, 0, 4, 0, 0, 1
38, 4523, 0.291621, 0, 4, 0, 0, 1
39, 4586, 0.291539, 0, 8, 0, 0, 1
40, 4591, 0.283816, 0, 15, 0, 0, 1
41, 4630, 0.279914, 0, 4, 0, 0, 1
42, 4666, 0.273039, 0, 5, 0, 0, 1
43, 4615, 0.286891, 0, 5, 0, 0, 1
44, 4648, 0.277108, 0, 6, 0, 0, 1
45, 4619, 0.285560, 0, 5, 0, 0, 1
46, 4602, 0.283138, 0, 4, 0, 0, 1
47, 4680, 0.278419, 0, 4, 0, 0, 1
48, 4782, 0.259724, 0, 5, 0, 0, 0
49, 4612, 0.290763, 0, 6, 0, 0, 1
50, 4665, 0.270954, 0, 4, 0, 0, 1
51, 4603, 0.280469, 0, 5, 0, 0, 1
52, 4661, 0.272903, 0, 4, 0, 0, 1
53, 4629, 0.283431, 0, 5, 0, 0, 1
54, 4640, 0.281250, 0, 7, 0, 0, 1
55, 4677, 0.269831, 0, 4, 0, 0, 1
56, 4626, 0.282317, 0, 6, 0, 0, 1
57, 4643, 0.283653, 0, 6, 0, 0, 1
58, 4863, 0.240387, 0, 4, 0, 0, 0
59, 4230, 0.355319, 0, 36, 0, 0, 1
60, 9, 0.555556, 0, 1, 0, 1, 1
